,0,1
0.1,4.6864134951883983e-07,2.4614781593629975e-05
0.2,6.087009355957773e-07,4.0898558557390756e-05
0.30000000000000004,6.085504506774557e-07,5.100354575298143e-05
0.4,5.534486227742622e-07,5.6578270695749554e-05
0.5,4.817948085790458e-07,5.888095476313718e-05
0.6,4.101347533187334e-07,5.8867130537139255e-05
0.7,3.449535918221847e-07,5.725794693833253e-05
0.7999999999999999,2.882070835968645e-07,5.459352057988501e-05
0.8999999999999999,2.3989889988094407e-07,5.127458941674896e-05
0.9999999999999999,1.9926727737685335e-07,4.759498994636545e-05
1.0999999999999999,1.653193433068812e-07,4.3766933816967926e-05
1.2,1.3706144336694008e-07,3.994063800487756e-05
1.3,1.1358948801975585e-07,3.621953200371185e-05
1.4000000000000001,9.41162623943781e-08,3.2672004899788334e-05
1.5000000000000002,7.797155935321967e-08,2.934044965320452e-05
1.6000000000000003,6.45916488676671e-08,2.6248199738535807e-05
1.7000000000000004,5.350552026906773e-08,2.3404825410690848e-05
1.8000000000000005,4.432110399607216e-08,2.081015606033316e-05
1.9000000000000006,3.671273148926401e-08,1.845731572276006e-05
2.0000000000000004,3.0410214569090826e-08,1.6334996305003328e-05
2.1000000000000005,2.518954727242415e-08,1.4429143939385828e-05
2.2000000000000006,2.0865084565642308e-08,1.272419524255748e-05
2.3000000000000007,1.728300730560694e-08,1.1203969931854552e-05
2.400000000000001,1.4315882398088044e-08,9.85230246706232e-06
2.500000000000001,1.185814420317494e-08,8.653476755292639e-06
2.600000000000001,9.822345729767383e-09,7.592513383219766e-06
2.700000000000001,8.136050566435087e-09,6.65534745751042e-06
2.800000000000001,6.739257087210531e-09,5.8289262581640326e-06
2.9000000000000012,5.582264205167923e-09,5.1012490013694696e-06
3.0000000000000013,4.623903247808895e-09,4.461365644116337e-06
3.1000000000000014,3.8300732711185336e-09,3.89934750724919e-06
3.2000000000000015,3.1725276943120738e-09,3.406239284033932e-06
3.3000000000000016,2.627869291209508e-09,2.97399953031601e-06
3.4000000000000017,2.176717634634671e-09,2.595434837429491e-06
3.5000000000000018,1.8030195285564445e-09,2.264131442262811e-06
3.600000000000002,1.4934777797572977e-09,1.97438693044783e-06
3.700000000000002,1.2370780472337112e-09,1.7211438596003489e-06
3.800000000000002,1.0246969291134894e-09,1.499926508958768e-06
3.900000000000002,8.487773297047378e-10,1.3067815014241526e-06
4.000000000000002,7.030595384243893e-10,1.1382227067372805e-06
4.100000000000001,5.823585291238515e-10,9.911805908272977e-07
4.200000000000001,4.823794229172834e-10,8.629560044367917e-07
4.300000000000001,3.9956469476183024e-10,7.511782854086121e-07
4.4,3.3096757271740466e-10,6.537674710499106e-07
4.5,2.741471781758931e-10,5.689003685318533e-07
4.6,2.270816865770096e-10,4.949802049635116e-07
4.699999999999999,1.8809638506866525e-10,4.3060956801072633e-07
4.799999999999999,1.5580406302406893e-10,3.7456634856649853e-07
4.899999999999999,1.2905567845433445e-10,3.257824051072475e-07
4.999999999999998,1.0689944540250157e-10,2.8332468268039315e-07
5.099999999999998,8.854698558626476e-11,2.4637853582946304e-07
5.1999999999999975,7.334527055200243e-11,2.1423302288655263e-07
5.299999999999997,6.075338083354203e-11,1.8626795788136397e-07
5.399999999999997,5.032326161299875e-11,1.619425250342037e-07
5.4999999999999964,4.168378205466086e-11,1.4078527897024707e-07
5.599999999999996,3.4527525342809866e-11,1.2238537134663054e-07
5.699999999999996,2.859985215871613e-11,1.0638486058681343e-07
5.799999999999995,2.3689839830401652e-11,9.247197673699503e-08
5.899999999999995,1.962277612000565e-11,8.037522730457652e-08
5.999999999999995,1.625394462889964e-11,6.985824252818402e-08
6.099999999999994,1.3463473373004203e-11,6.071527013561201e-08
6.199999999999994,1.1152068824866474e-11,5.2767239872597545e-08
6.299999999999994,9.237485817463799e-12,4.5858327499967584e-08
6.399999999999993,7.651597388086848e-12,3.985295620001344e-08
6.499999999999993,6.33797395133163e-12,3.463318081266014e-08
6.5999999999999925,5.249872511911867e-12,3.0096406807548444e-08
6.699999999999992,4.3485764858639894e-12,2.6153401870994935e-08
6.799999999999992,3.60201419218429e-12,2.2726563078854365e-08
6.8999999999999915,2.9836215149181856e-12,1.9748407205487562e-08
6.999999999999991,2.471394401877073e-12,1.7160255805431872e-08
7.099999999999991,2.0471061214410097e-12,1.49110901372581e-08
7.19999999999999,1.6956593863576673e-12,1.2956554240368833e-08
7.29999999999999,1.4045495579855898e-12,1.125808717025284e-08
7.39999999999999,1.1634171051767126e-12,9.78216772653973e-09
7.499999999999989,9.636816935770835e-13,8.499657269338828e-09
7.599999999999989,7.982371965609666e-13,7.385227882096323e-09
7.699999999999989,6.61195684611965e-13,6.416864956387737e-09
7.799999999999988,5.476824424926519e-13,5.575434478958649e-09
7.899999999999988,4.5365619252563717e-13,4.844306686831027e-09
7.999999999999988,3.7577252474059387e-13,4.209028763461818e-09
8.099999999999987,3.112597545918759e-13,3.657040247278729e-09
8.199999999999987,2.5782281311308973e-13,3.177425526277442e-09
8.299999999999986,2.1355986062175525e-13,2.7606986834135983e-09
8.399999999999986,1.7689579241387496e-13,2.398616398174465e-09
8.499999999999986,1.4652643684426519e-13,2.0840153503583878e-09
8.599999999999985,1.2137081537840416e-13,1.8106708023376723e-09
8.699999999999985,1.0053373829530152e-13,1.5731737428731246e-09
8.799999999999985,8.327410154353854e-14,1.3668240292533944e-09
8.899999999999984,6.89775305028254e-14,1.187537572036929e-09
8.999999999999984,5.713535965056061e-14,1.0317656209646444e-09
9.099999999999984,4.732650831051103e-14,8.964246276252047e-10
9.199999999999983,3.9201195636418785e-14,7.788352899295898e-10
9.299999999999983,3.2471584194154425e-14,6.76669588753536e-10
9.399999999999983,2.6896582849439962e-14,5.879047422730691e-10
9.499999999999982,2.2279020789746146e-14,5.10783185581336e-10
9.599999999999982,1.8453762398155013e-14,4.437778398245771e-10
9.699999999999982,1.528573808885638e-14,3.8556186393913977e-10
9.799999999999981,1.2661638178537056e-14,3.3498242813004954e-10
9.89999999999998,1.0487952030470706e-14,2.910378730536783e-10
9.99999999999998,8.686863388428066e-15,2.528579271901354e-10
